pivotID,pubID,topicID,prevalence
t614,1131044707067416577,3,0.024594624
t615,1131044707067416577,4,0.024280189
t616,1131061560733048832,2,0.24700554
t617,1131061560733048832,3,0.74329036
t618,1131226777257480192,2,0.9853999
t619,1131232720267501568,1,0.9972124
t620,1131366782055272448,2,0.91969925
t621,1131366782055272448,3,0.03566283
t622,1131366782055272448,4,0.035206653
t623,1131367838873075712,2,0.9825433
t624,1131378946128384009,3,0.9844899
t625,1131384236538322944,3,0.9938405
t626,1131564409891852289,2,0.97529227
t627,1131564409891852289,3,0.010973067
t628,1131564409891852289,4,0.010832765
t629,1131566994178940928,2,0.7148653
t630,1131566994178940928,3,0.26919213
t631,1131566994178940928,4,0.012574131
t632,1131708920710328320,3,0.9882971
t633,1131710100488409089,3,0.98994267
t634,1131741394522058753,2,0.9713212
t635,1131741394522058753,3,0.012736746
t636,1131741394522058753,4,0.012573708
t637,1131992708971716609,1,0.9969598
t638,1132102703050440706,2,0.3402043
t639,1132102703050440706,3,0.6528208
t640,1132302236011204608,3,0.9882969
t641,1133357276121698304,2,0.7847292
t642,1133357276121698304,3,0.20320609
t643,1133838012951846912,3,0.9860076
t644,1133841511819489280,2,0.9196988
t645,1133841511819489280,3,0.035663206
t646,1133841511819489280,4,0.035206687
t647,1133951895033266176,3,0.9770124
t648,1133951895033266176,4,0.012573693
t649,1134413540796829696,3,0.99118257
t650,1134476249085173760,3,0.7954506
t651,1134476249085173760,4,0.19666846
t652,1134615492772032513,3,0.9860074
t653,1134617339578789892,2,0.7379886
t654,1134617339578789892,3,0.25125477
t655,1135242064562573313,3,0.9801952
t656,1135242064562573313,4,0.010832877
t657,1135620479841054721,3,0.9860073
t658,1135646585436614656,2,0.59909064
t659,1135646585436614656,3,0.38191405
t660,1135646585436614656,4,0.014981867
t661,1135730218381955072,2,0.5177549
t662,1135730218381955072,3,0.45145938
t663,1135730218381955072,4,0.024281144
t664,1135740832244555776,2,0.8887398
t665,1135740832244555776,3,0.103757784
t666,1136290866119581701,3,0.98260385
t667,1136305992235458560,3,0.97701246
t668,1136305992235458560,4,0.012573675
t669,1136456110007828486,3,0.9770125
t670,1136456110007828486,4,0.012573635
t671,1136746352904462336,2,0.8134652
t672,1136746352904462336,3,0.1795598
t673,1137075116574203904,2,0.98539984
t674,1137118368778129408,1,0.125176
t675,1137118368778129408,3,0.8599763
t676,1137422783103819776,3,0.9860076
t677,1137487694626525184,2,0.9197011
t678,1137487694626525184,3,0.03566186
t679,1137487694626525184,4,0.03520588
t680,1137758412840865792,2,0.5182636
t681,1137758412840865792,3,0.46274102
t682,1137758412840865792,4,0.014981972
t683,1137764440277786624,2,0.83073485
t684,1137764440277786624,3,0.15956089
t685,1137812048107036672,2,0.013605478
t686,1137812048107036672,3,0.9556094
t687,1137812048107036672,4,0.024280712
t688,1137889511361404930,3,0.98449004
t689,1137920151842516992,2,0.50922626
t690,1137920151842516992,3,0.25395697
t691,1137920151842516992,4,0.23426771
t692,1138066578396913664,3,0.98600703
t693,1138691507291140096,3,0.9906033
t694,1139146121597468676,1,0.35471627
t695,1139146121597468676,3,0.63204604
t696,1139156059065479168,2,0.51247525
t697,1139156059065479168,3,0.47158217
t698,1139156059065479168,4,0.012574135
t699,1139314418750251008,2,0.77962476
t700,1139314418750251008,3,0.21340024
t701,1139379232943960066,2,0.2950786
t702,1139379232943960066,3,0.69521725
t703,1139532083892649985,2,0.8722347
t704,1139532083892649985,4,0.11689936
t705,1139691473199255552,2,0.40944636
t706,1139691473199255552,3,0.5817143
t707,1139696841975451648,1,0.9935519
t708,1139936985311670272,2,0.98650414
t709,1140010442338652160,2,0.6517315
t710,1140010442338652160,3,0.33453348
t711,1140010442338652160,4,0.010833026
t712,1140427232269221888,3,0.98260343
t713,1140630525784154112,2,0.9806506
t714,1140650974031298561,2,0.96582973
t715,1140650974031298561,3,0.015175581
t716,1140650974031298561,4,0.0149814
t717,1140732356543877121,1,0.9954474
t718,1141062236133298176,2,0.44989812
t719,1141062236133298176,3,0.536367
t720,1141062236133298176,4,0.01083292
t721,1141151084024487938,2,0.5945405
t722,1141151084024487938,3,0.39934447
t723,1141350156228366337,2,0.24981779
t724,1141350156228366337,3,0.7394258
t725,1141695773668782081,2,0.43919924
t726,1141695773668782081,3,0.55329835
t727,1142165884208734208,2,0.9853997
t728,1142799101228191745,3,0.9925588
t729,1143923984120995842,1,0.08665612
t730,1143923984120995842,2,0.9029977
t731,1144221101674782720,3,0.9860075
t732,1144292905600868352,1,0.99590987
